ID,Author,Year,Title,Journal,Volume,Pages,DOI,Keywords,Abstract,Note
RN29195,"Adu-Boahen, K. and Dadson, I. Y. and Mensah, D. K. D. and Kyeremeh, S.",2022,Mapping ecological impact of microplastics on freshwater habitat in the central region of Ghana: a case study of River Akora,Geojournal,87,621–639,10.1007/s10708-020-10273-6,microplastics ecological impact river akora freshwater ghana plastic debris marine-environment north-sea urban estuaries demersal fish ingestion pollution accumulation sediments surface,"Indiscriminate plastic littering behaviour of inhabitants continues to pose a threat to water bodies with its repercussions on human health and the integrity of the environment. This paper assessed the ecological impact of plastics that are less than 5 mm on the longest dimension, hereinafter called microplastics. Sixty (60) residents were purposively sampled using a snow-balling approach for the study. Questionnaires, field observations of microplastics and sources, fish, and water sediments from the River were the data for the study. Data was analysed with SPSS version 20.0 and presented in tables and figures. Laboratory analysis of microplastics was run on sediments trawled, and on the digestive tracts and gills of fishes caught, all from the River, to assess the accumulation of microplastics. The study revealed that microplastics are present in the River and there is uptake of microplastics by some resident aquatic life which may pose threat to lives. The study further revealed positive correlations between number of fishes and microplastics loads in fish and between microplastic loads in water and loads in fish. Residents are aware of microplastics in the catchment area of the River. The unregulated gutters that flow directly into the River are the main sources. Wind and running water were discovered as the potential ways by which microplastics are deposited into the River. It is therefore recommended that wastewater be treated before reaching the River and gutters should be channelled out of the River where necessary and plastics usage should be regulated and if possible, banned.",0e8qr Times Cited:19 Cited References Count:101
RN29220,"Akindele, E. O. and Ehlers, S. M. and Koop, J. H. E.",2020,Freshwater insects of different feeding guilds ingest microplastics in two Gulf of Guinea tributaries in Nigeria,Environ Sci Pollut Res Int,27,33373–33379,10.1007/s11356-020-08763-8,"Animals Ecosystem Environmental Monitoring Fresh Water Guinea Insecta Microplastics Nigeria *Plastics Water Pollutants, Chemical/*analysis Chironomids Damselfly Gulf of Guinea Mayfly Rivers Synthetic polymer","Plastic pollution has enormous impacts on freshwater and marine ecosystem health, and it is one of the topmost environmental concerns of the current geological period (i.e. the Anthropocene). Thus, the goal of our study was to provide baseline information and bridge the information gap on the occurrence of microplastics (MPs) in African freshwater systems, using two tributaries of the Gulf of Guinea (Ogun and Osun Rivers) in Nigeria as a case study and three freshwater insect species of different feeding guilds as bioindicators. A total of 29 individuals of the insect species were chemically digested and subsequently analysed for MP presence under a digital microscope and a micro-Fourier-transform infrared (muFTIR) spectroscope. Collector-gatherers (Chironomus sp. and Siphlonurus sp.) recorded the highest MP load per gram wet weight, while the predatory Lestes viridis recorded the lowest. The highest diversity of polymers was recorded in Chironomus sp. of Ogun River, i.e. styrene ethylene butylene styrene, acrylonitrile butadiene styrene (ABS), chlorinated polyethylene, polypropylene (PP), and polyester, while two polymers each were recorded in Siphlonurus sp. (i.e. polyester and ABS) and L. viridis (i.e. polyester and PP) of Osun River. We conclude that collector-gatherers like Chironomus sp. and Siphlonurus sp. could be best employed as MP bioindicators in freshwater systems. However, their suitability as MP bioindicators should be further investigated in different freshwater ecosystems worldwide. Graphical abstract.","Akindele, Emmanuel O Ehlers, Sonja M Koop, Jochen H E eng 91690476/Deutscher Akademischer Austauschdienst/ Germany 2020/06/25 Environ Sci Pollut Res Int. 2020 Sep;27(26):33373-33379. doi: 10.1007/s11356-020-08763-8. Epub 2020 Jun 23."
RN29235,"Alam, F. C. and Sembiring, E. and Muntalif, B. S. and Suendo, V.",2019,"Microplastic distribution in surface water and sediment river around slum and industrial area (case study: Ciwalengke River, Majalaya district, Indonesia)",Chemosphere,224,637–645,10.1016/j.chemosphere.2019.02.188,"Environmental Monitoring/methods Geologic Sediments/chemistry Indonesia Industry Nylons/analysis Plastics/*analysis/chemistry Polyesters/analysis Poverty Areas Rivers/*chemistry Water Pollutants, Chemical/*analysis Ciwalengke river Microplastic Sediment Slum area Textile industry Water","Microplastic research in urban and industrial areas, including remote areas, have been conducted recently. However, there is still a lack of research about microplastic abundances in slum area. Ciwalengke River is located in Majalaya, Indonesia, which is dominated by slum and industrial areas that probably generate microplastics. This research was conducted to investigate the distribution of microplastic around the slum area for the first time. Surface water and sediment samples of the river were obtained at ten locations and grouped into six segments location based on different land use at the riverbank. Microplastic particles were identified using binocular microscope and categorized by shape and size. The average microplastic concentration were 5.85 +/- 3.28 particles per liter of surface water and 3.03 +/- 1.59 microplastic particles per 100 g of dry sediments. Microplastic concentration in the sediment samples were found to have significant differences in location segment (Kruskal Wallis test, p-value = 0.01165 < 0.05), but no significant differences were found in the water samples (Kruskal Wallis test; p-value = 0.654 > 0.05). In addition, microplastic distribution was dominated by fiber particle. More fiber shape might be derived from the direct clothing of residents in the river and fabric washing process in the textile industries. This was also revealed by Raman spectroscopy test of several microplastic particles indicating that the type of microplastic were polyester and nylon.","Alam, Firdha Cahya Sembiring, Emenda Muntalif, Barti Setiani Suendo, Veinardi eng England 2019/03/09 Chemosphere. 2019 Jun;224:637-645. doi: 10.1016/j.chemosphere.2019.02.188. Epub 2019 Mar 2."
RN29192,"Alfonso, M. B. and Arias, A. H. and Piccolo, M. C.",2020,Microplastics integrating the zooplanktonic fraction in a saline lake of Argentina: influence of water management,Environ Monit Assess,192,117,10.1007/s10661-020-8080-1,"Animals Argentina *Environmental Monitoring Food Chain Lakes/chemistry Microplastics/*analysis Plastics Salinity Water Water Pollutants, Chemical/*analysis Water Supply Zooplankton/*physiology Microplastics Pollution Shallow lake South America Water management Zooplankton","This study address for the first time in Argentina and the South American continent the effect of water management on the presence of microplastics (MPs) in a shallow lake, assessing their contribution to the zooplankton fraction. Water samples were collected in the lake and its principal affluent, an irrigation channel, from winter 2018 to summer 2019 with a zooplankton net (47 mum). MPs were present in all analyzed samples, with a dominance of fibers, black color, and </= 1000 mum range size. MPs concentration was maximum during summer at the lake (180 MPs m(-3)) while during spring (140 MPs m(-3)) at the channel. Rotifers and cyclopoids dominated the zooplanktonic fraction at both sites which range sizes (< 200 to 600 mum) included most of the size range found for MPs (50-950 mum). According to our results, the MPs found represents a potential risk for the first levels of the food web. In the lake, the concentration of MPs concerning total zooplankton abundance was higher when the channel was closed. Nevertheless, when the channel was open, the higher concentration in summer matches with the increase of tourism and an extraordinary rainfall. Our results suggest that while the runoff of agro-industrial waste regulates the MPs concentration in the channel, its water management, the touristic activities, and the runoff of MPs from nearby urban settlements regulate the concentration of MPs in the lake. These findings emphasize the need for better treatment of urban and agro-industrial waste that develops near continental aquatic systems, mainly in those where tourism activities are frequent and treatment facilities scarce.","Alfonso, Maria Belen Arias, Andres Hugo Piccolo, Maria Cintia eng Netherlands 2020/01/18 Environ Monit Assess. 2020 Jan 16;192(2):117. doi: 10.1007/s10661-020-8080-1."
RN29458,"Alfonso, M. B. and Scordo, F. and Seitz, C. and Mavo Manstretta, G. M. and Ronda, A. C. and Arias, A. H. and Tomba, J. P. and Silva, L. I. and Perillo, G. M. E. and Piccolo, M. C.",2020,First evidence of microplastics in nine lakes across Patagonia (South America),Sci Total Environ,733,139385,10.1016/j.scitotenv.2020.139385,Lakes Microplastics Patagonian region Pollution,"Microplastics (MPs) on lakes have been reported mainly from Europe, Asia, and North America. Then, this study aimed to address the quantification and identification of MPs in nine lakes from the Argentine Patagonian Region. Blue colored fibers were dominant, with a size range between 0.2 and <0.4 mm. The mean MPs concentration was 0.9 +/- 0.6 MPs m(-3), suggesting a low pollution state when compared to other worldwide lakes. Raman microscopy analysis showed a predominance of Indigo Blue Polyethylene terephthalate (PET) particles. The upper-gradient runoff from urban settlements, textiles, and fisheries were identified as the main MPs sources and levels positively correlated with the higher area, shallower depth, and with an end-position in the watershed. These findings fill a gap in the geographical distribution knowledge, setting a baseline that emphasizes the need for better treatment of urban and fisheries wastes in continental lakes.","Alfonso, Maria Belen Scordo, Facundo Seitz, Carina Mavo Manstretta, Gian Marco Ronda, Ana Carolina Arias, Andres Hugo Tomba, Juan Pablo Silva, Leonel Ignacio Perillo, Gerardo Miguel Eduardo Piccolo, Maria Cintia eng Netherlands 2020/05/24 Sci Total Environ. 2020 Sep 1;733:139385. doi: 10.1016/j.scitotenv.2020.139385. Epub 2020 May 13."
RN29465,"Amrutha, K. and Warrier, A. K.",2020,The first report on the source-to-sink characterization of microplastic pollution from a riverine environment in tropical India,Sci Total Environ,739,140377,10.1016/j.scitotenv.2020.140377,Arabian Sea Fibres Food chain Microplastics Netravathi River Tropical,"Microplastics are plastic pieces <5 mm in size that are more harmful than large plastic debris. The world's oceans contain large amounts of these particles, and their presence is severely affecting the marine organisms. Smaller aquatic organisms ingesting microplastics, mistaking them for food, and their subsequent entry into the food chain is of significant concern. Rivers are major carriers of these materials from the terrestrial environment to the oceans. In this study, for the first time, we have done the source-to-sink characterization of microplastics (5 mm-0.3 mm) for a tropical Indian river, namely the Netravathi River, which debouches into the Arabian Sea. Here, we present a detailed investigation made on water, sediments and soil samples collected from the river catchment. All the samples showed the presence of microplastics with a mean numerical abundance of 288 pieces/m(3) (water), 96 pieces/kg (sediment) and 84.45 pieces/kg (soil). Fibres, films and fragments are the main categories obtained from the catchment. The microplastics present in the samples were mostly transparent and white coloured which are due to the decay of plastic carry bags, packing materials and fishing lines. Different coloured microplastics were also present in lesser numbers. Polyethylene (PE) and polyethylene terephthalate (PET) are the most abundant polymers present in the samples. Fragmentation of larger plastic materials which is due to mismanaged solid waste and garment washing are the primary sources of these materials in the river catchment. Moreover, the sampling sites near to important pilgrim centres like Dharmasthala and Subrahmanya, register higher concentration of fibres released due to washing of clothes. The study concludes that the Netravathi River is contaminated with microplastics from its origin to the sink. However, the spatial distribution and abundance of microplastic particles demonstrate the influence of population distribution, land use and good household practices of waste management in some areas.","Amrutha, K Warrier, Anish Kumar eng Netherlands 2020/08/08 Sci Total Environ. 2020 Oct 15;739:140377. doi: 10.1016/j.scitotenv.2020.140377. Epub 2020 Jun 20."
RN29273,"Anderson, P. J. and Warrack, S. and Langen, V. and Challis, J. K. and Hanson, M. L. and Rennie, M. D.",2017,"Microplastic contamination in Lake Winnipeg, Canada",Environ Pollut,225,223–231,10.1016/j.envpol.2017.02.072,"Canada Ecosystem *Environmental Monitoring Lakes/*chemistry Plastics/*analysis/chemistry Water Pollutants, Chemical/*analysis Contaminant trends Exposure assessment Great Lakes Plastic fibres","Microplastics are an emerging contaminant of concern in aquatic ecosystems. To better understand microplastic contamination in North American surface waters, we report for the first time densities of microplastics in Lake Winnipeg, the 11th largest freshwater body in the world. Samples taken 2014 to 2016 revealed similar or significantly greater microplastic densities in Lake Winnipeg compared with those reported in the Laurentian Great Lakes. Plastics in the lake were largely of secondary origin, overwhelmingly identified as fibres. We detected significantly greater densities of microplastics in the north basin compared to the south basin of the lake in 2014, but not in 2015 or 2016. Mean lake-wide densities across all years were comparable and not statistically different. Scanning electron microscopy with energy dispersive X-ray spectroscopy indicated that 23% of isolated particles on average were not plastic. While the ecological impact of microplastics on aquatic ecosystems is still largely unknown, our study contributes to the growing evidence that microplastic contamination is widespread even around sparsely-populated freshwater ecosystems, and provides a baseline for future study and risk assessments.","Anderson, Philip J Warrack, Sarah Langen, Victoria Challis, Jonathan K Hanson, Mark L Rennie, Michael D eng England 2017/04/05 Environ Pollut. 2017 Jun;225:223-231. doi: 10.1016/j.envpol.2017.02.072. Epub 2017 Apr 2."
RN29585,"Aragaw, T. A.",2021,"The macro-debris pollution in the shorelines of Lake Tana: First report on abundance, assessment, constituents, and potential sources",Sci Total Environ,797,149235,10.1016/j.scitotenv.2021.149235,Environmental Monitoring Environmental Pollution/analysis *Lakes Plastics *Waste Products/analysis Bottles Lakeshores Litter Packagings Surveying,"Macro-debris monitoring in the shores of freshwater systems is critical to estimate the macro-and micro-plastic pollution levels for the subsequent investigation of ecological pollution. The study aims to report the composition of macro debris and their distribution on the shore of Lake Tana, Ethiopia, as a first baseline document. The distribution of litter surveys was conducted at seven different town/village shorelines of Lake Tana. The debris was categorized, and its constituent, abundance, and accumulation rates were computed. The findings showed that the mean accumulation rates of Lake Tana debris ranged between 4.9 +/- 3.9 and 30.5 +/- 20.2 items m(-1) day(-1) in counts and between 0.32 +/- 0.21 and 0.04 +/- 0.09 +/- 0.03 g m(-1) day(-1) in mean weight. Also, the plastic polymers were identified as PET, PE, and HDPE. The litter categories abundance is different in different sampling locations. Plastics as packaging materials were extensively distributed in surveyed areas. A significant quantity of litter are local products and a locally feasible solid waste management system can be used to eradicate outflow into Lake Tana and can reduce pollution.","Aragaw, Tadele Assefa eng Netherlands 2021/08/05 Sci Total Environ. 2021 Nov 25;797:149235. doi: 10.1016/j.scitotenv.2021.149235. Epub 2021 Jul 22."
RN29539,"Azizi, A. and Maulida, N. and Setyowati, W. N. and Fairus, S. and Puspito, D. A.",2022,"Microplastic pollution in the water and sediment of Krukut River, Jakarta, Indonesia",IOP Conference Series: Earth and Environmental Science,986,,10.1088/1755-1315/986/1/012084,,,
RN29509,"Baldwin, A. K. and Corsi, S. R. and Mason, S. A.",2016,Plastic Debris in 29 Great Lakes Tributaries: Relations to Watershed Attributes and Hydrology,Environ Sci Technol,50,10377–10385,10.1021/acs.est.6b02917,"Environmental Monitoring *Hydrology *Lakes Plastics Rivers Water Pollutants, Chemical","Plastic debris is a growing contaminant of concern in freshwater environments, yet sources, transport, and fate remain unclear. This study characterized the quantity and morphology of floating micro- and macroplastics in 29 Great Lakes tributaries in six states under different land covers, wastewater effluent contributions, population densities, and hydrologic conditions. Tributaries were sampled three or four times each using a 333 mum mesh neuston net. Plastic particles were sorted by size, counted, and categorized as fibers/lines, pellets/beads, foams, films, and fragments. Plastics were found in all 107 samples, with a maximum concentration of 32 particles/m(3) and a median of 1.9 particles/m(3). Ninety-eight percent of sampled plastic particles were less than 4.75 mm in diameter and therefore considered microplastics. Fragments, films, foams, and pellets/beads were positively correlated with urban-related watershed attributes and were found at greater concentrations during runoff-event conditions. Fibers, the most frequently detected particle type, were not associated with urban-related watershed attributes, wastewater effluent contribution, or hydrologic condition. Results from this study add to the body of information currently available on microplastics in different environmental compartments, including unique contributions to quantify their occurrence and variability in rivers with a wide variety of different land-use characteristics while highlighting differences between surface samples from rivers compared with lakes.","Baldwin, Austin K Corsi, Steven R Mason, Sherri A eng Research Support, U.S. Gov't, Non-P.H.S. 2016/09/15 Environ Sci Technol. 2016 Oct 4;50(19):10377-10385. doi: 10.1021/acs.est.6b02917. Epub 2016 Sep 14."
RN29555,"Baldwin, A. K. and Spanjer, A. R. and Rosen, M. R. and Thom, T.",2020,"Microplastics in Lake Mead National Recreation Area, USA: Occurrence and biological uptake",PLoS One,15,e0228896,10.1371/journal.pone.0228896,"Animals *Environmental Monitoring Fresh Water/chemistry Geologic Sediments/*chemistry Humans Lakes/chemistry Microplastics/*isolation & purification/toxicity Wastewater/chemistry Water Pollutants, Chemical/chemistry/*isolation & purification","Microplastics are an environmental contaminant of growing concern, but there is a lack of information about microplastic distribution, persistence, availability, and biological uptake in freshwater systems. This is especially true for large river systems like the Colorado River that spans multiple states through mostly rural and agricultural land use. This study characterized the quantity and morphology of microplastics in different environmental compartments in two large reservoirs along the Colorado River: Lakes Mead and Mohave, within Lake Mead National Recreation Area. To assess microplastic occurrence, surface water and surficial sediment were sampled at a total of nine locations. Sampling locations targeted different sub-basins with varying levels of anthropogenic impact. Las Vegas Wash, a tributary which delivers treated wastewater to Lake Mead, was also sampled. A sediment core (33 cm long, representing approximately 19 years) was extracted from Las Vegas Bay to assess changes in microplastic deposition over time. Striped bass (Morone saxatilis), common carp (Cyprinus carpio), quagga mussels (Dreissena bugensis), and Asian clams (Corbicula fluminea) were sampled at a subset of locations to assess biological uptake of microplastics. Microplastic concentrations were 0.44-9.7 particles/cubic meter at the water surface and 87.5-1,010 particles/kilogram dry weight (kg dw) at the sediment surface. Sediment core concentrations were 220-2,040 particles/kg dw, with no clear increasing or decreasing trend over time. Shellfish microplastic concentrations ranged from 2.7-105 particles/organism, and fish concentrations ranged from 0-19 particles/organism. Fibers were the most abundant particle type found in all sample types. Although sample numbers are small, microplastic concentrations appear to be higher in areas of greater anthropogenic impact. Results from this study improve our understanding of the occurrence and biological uptake of microplastics in Lake Mead National Recreation Area, and help fill existing knowledge gaps on microplastics in freshwater environments in the southwestern U.S.","Baldwin, Austin K Spanjer, Andrew R Rosen, Michael R Thom, Theresa eng Research Support, U.S. Gov't, Non-P.H.S. 2020/05/05 PLoS One. 2020 May 4;15(5):e0228896. doi: 10.1371/journal.pone.0228896. eCollection 2020."
RN29364,"Ballent, A. and Corcoran, P. L. and Madden, O. and Helm, P. A. and Longstaffe, F. J.",2016,"Sources and sinks of microplastics in Canadian Lake Ontario nearshore, tributary and beach sediments",Mar Pollut Bull,110,383–395,10.1016/j.marpolbul.2016.06.037,"Bathing Beaches Environmental Monitoring/methods Geologic Sediments/*analysis/chemistry Lakes/analysis/*chemistry Ontario Plastics/*analysis/chemistry Water Pollutants, Chemical/*analysis Lake Ontario Microplastics Nearshore Raman spectroscopy Sediments Watershed","Microplastics contamination of Lake Ontario sediments is investigated with the aim of identifying distribution patterns and hotspots in nearshore, tributary and beach depositional environments. Microplastics are concentrated in nearshore sediments in the vicinity of urban and industrial regions. In Humber Bay and Toronto Harbour microplastic concentrations were consistently >500 particles per kg dry sediment. Maximum concentrations of ~28,000 particles per kg dry sediment were determined in Etobicoke Creek. The microplastic particles were primarily fibres and fragments <2mm in size. Both low- and high-density plastics were identified using Raman spectroscopy. We provide a baseline for future monitoring and discuss potential sources of microplastics in terms of how and where to implement preventative measures to reduce the contaminant influx. Although the impacts of microplastics contamination on ecosystem health and functioning is uncertain, understanding, monitoring and preventing further microplastics contamination in Lake Ontario and the other Great Lakes is crucial.","Ballent, Anika Corcoran, Patricia L Madden, Odile Helm, Paul A Longstaffe, Fred J eng England 2016/06/28 Mar Pollut Bull. 2016 Sep 15;110(1):383-395. doi: 10.1016/j.marpolbul.2016.06.037. Epub 2016 Jun 21."
RN29498,"Barrows, A. P. W. and Christiansen, K. S. and Bode, E. T. and Hoellein, T. J.",2018,"A watershed-scale, citizen science approach to quantifying microplastic concentration in a mixed land-use river",Water Res,147,382–392,10.1016/j.watres.2018.10.013,"Environmental Monitoring Humans Oceans and Seas Plastics *Rivers *Water Pollutants, Chemical Citizen science Microfiber Microplastic Pollution River Watershed","Microplastic (particles < 5 mm) pollution dynamics are well documented in oceans and increasingly studied in freshwater. We used a watershed-scale approach to examine spatial and temporal patterns in microplastic concentrations in the Gallatin River watershed (Montana, USA). At 72 sites, trained volunteers collected approximately 1-L grab samples at 4 seasons per year over 2 years (n = 714 samples). Microplastics were found in 57% of the samples (mean = 1.2 particles L(-1)). The majority of particles were fibers (80%), 0.1-1.5 mm long. Chemical identification determined 93% of particles measured by muFT-IR were synthetic or semi-synthetic materials. Microplastic concentration differed significantly among dates, but showed no longitudinal pattern or relationship to land-use among subwatersheds. At two sites with gaging stations, microplastic was negatively related to discharge when compared across dates. This suggests stormwater is not a source of microplastic in this watershed, but instead dilutes microplastic inputs from other sources. We conclude that microplastic sources are diverse, and measurements of microplastic deposition, resuspension, and transport may be needed to clarify the role of land-use patterns on microplastic pollution. This large scale, citizen science based approach provides a model for future analysis which can further expand microplastic collection at the watershed scale.","Barrows, Abigail P W Christiansen, Katie S Bode, Emma T Hoellein, Timothy J eng Research Support, Non-U.S. Gov't England 2018/10/20 Water Res. 2018 Dec 15;147:382-392. doi: 10.1016/j.watres.2018.10.013. Epub 2018 Oct 8."
RN29207,"Battulga, B. and Kawahigashi, M. and Oyuntsetseg, B.",2019,Distribution and composition of plastic debris along the river shore in the Selenga River basin in Mongolia,Environ Sci Pollut Res Int,26,14059–14072,10.1007/s11356-019-04632-1,"Environmental Monitoring/methods Mongolia Plastics/*analysis Polyethylene/analysis Polystyrenes/analysis Rivers Spectroscopy, Fourier Transform Infrared Waste Products/*analysis Water Pollutants, Chemical/*analysis/chemistry Adsorption Micro-FTIR Microplastics Plastic fragmentation Polystyrene foam","Plastic pollution in aquatic environments is one of the most fatal environmental issues in the world. Although the distribution of plastic debris in the sea and at coasts has been addressed, the transportation of plastics through a river system is unclear but important. The distribution of plastic debris in the Selenga River system is responsible for the environmental pollution of Lake Baikal. Twelve sampling sites along the river shore of the Selenga River system have been surveyed considering the industrial activity and population density. The number of plastics significantly correlates with the population density. The higher the number of plastics is, the smaller is the average size. The size fractions of foam and film plastics show a significant relationship, suggesting that the plastic debris fragmented on-site on the river shores. The most abundant plastic debris is polystyrene foam (PSF), which is usually used for construction and packaging. Plastic debris occurs due to insufficient plastic waste management. Its distribution is affected by seasonal changes of the water level and flow rate of tributaries. Furthermore, the fragmentation of plastic debris is related to temperature changes associated with freeze and thaw cycles, solar radiation, and mechanical abrasion. Smaller microplastics with microscopic sizes were detected in PSF debris. Based on micro-Fourier transform infrared spectroscopy, these microplastics are polystyrene and polyethylene. This study proves that invisible and visible microplastics are transported together.","Battulga, Batdulam Kawahigashi, Masayuki Oyuntsetseg, Bolormaa eng 173495/Sumitomo Foundation/ Germany 2019/03/11 Environ Sci Pollut Res Int. 2019 May;26(14):14059-14072. doi: 10.1007/s11356-019-04632-1. Epub 2019 Mar 9."
RN29473,"Bertoldi, C. and Lara, L. Z. and Mizushima, F. A. L. and Martins, F. C. G. and Battisti, M. A. and Hinrichs, R. and Fernandes, A. N.",2021,"First evidence of microplastic contamination in the freshwater of Lake Guaiba, Porto Alegre, Brazil",Sci Total Environ,759,143503,10.1016/j.scitotenv.2020.143503,Freshwater Hydrological factors Microplastic contamination Oxidation degree,"The ubiquitous presence of microplastics in the aquatic environment has raised concern about their potential impacts on and risks to the biota. While the presence of microplastics in a marine environment has been well studied, the impact of microplastic contamination in freshwater bodies is understudied. In the present study, baseline data about contamination with microplastics in Lake Guaiba in southern Brazil are presented. The abundance, distribution, and composition of microplastics in the surface of this freshwater body were investigated, and these parameters were correlated with population density, land occupation, wind, and geohydrologic processes. The samples were collected with a manta net (60 mum mesh size). Microplastics were found in all the samples, with an average of 11.9 +/- 0.6 to 61.2 +/- 6.1 items m(-3), which indicates the widespread contamination of the lake with plastic particles. The most frequent microplastic morphology was the fragment type in the size range of 100 to 250 mum, and the predominant colours were white/transparent and red. Measurement uncertainty of the visual microplastic counts showed that black colour microplastics is more susceptible to be mistaken, which might lead to an underestimation and/or overestimation of the total number of microplastics. Polypropylene and polyethylene together comprised most of the polymer types (98%). Micro-Fourier transform infrared (micro-FTIR) spectroscopy analyses showed that 58% of the analysed polymers were highly oxidised, indicating long residence of this particles in the water. In addition, our data show that the distribution of microplastics is strongly influenced by the geohydrological characteristics of the lake. Therefore, this research may provide information for further investigations of microplastic distribution in Lake Guaiba and can serve as a base to improve the regulations regarding waste management to effectively reduce microplastic pollution in freshwater systems. Additionally, the measurement uncertainty showed that black microplastics are more susceptible to variations in their measurements.","Bertoldi, Crislaine Lara, Larissa Z Mizushima, Fernanda A de L Martins, Fernanda C G Battisti, Matheus A Hinrichs, Ruth Fernandes, Andreia N eng Netherlands 2020/11/22 Sci Total Environ. 2021 Mar 10;759:143503. doi: 10.1016/j.scitotenv.2020.143503. Epub 2020 Nov 11."
RN29244,"Bharath, K. M. and S, S. and Natesan, U. and Ayyamperumal, R. and Kalam, S. N. and S, A. and K, S. and C, A.",2021,Microplastics as an emerging threat to the freshwater ecosystems of Veeranam lake in south India: A multidimensional approach,Chemosphere,264,128502,10.1016/j.chemosphere.2020.128502,"Ecosystem Environmental Monitoring Geologic Sediments India *Lakes Microplastics Plastics *Water Pollutants, Chemical/analysis ATR-FTIR imaging Inland water Microplastic Sediment-microplastic isolation Sediments Trawl method","In the current scenario, microplastic, as a contaminant, is becoming an ecological threat to the freshwater ecosystem. The present study attempted to determine the quality and quantity of microplastic contaminants in water and soil samples at Veeranam lake in Tamil Nadu, India. It is very important to mention that the Veeranam lake in Tamil Nadu, is a major urban water source of the capital district of Tamil Nadu. Using Van Veen grab-sampling equipment and trawl methods, the study detected the presence of microplastics in 28 sediment samples and 31 water samples from the collected samples. In addition to this, the density separation was performed with zinc chloride solution using the Sediment-Microplastic Isolation (SMI) unit. The quantum of total plastic particle present in surface water were in the range of 13-54 items/km2 with a mean value of 28 items/km2. In the case of sediment samples, the amount of total plastic particle was found in the range of 92-604 items/kg with a mean value of 309 items/kg. The abundance of microplastic particles in water and sediments in various shape, colour, and composition as in the order of nylons > polythene > fibres/PVC > fragments > foam > pellets; dominant colours as white > red > black > green > blue and yellow at the sampling sites. In term of percentage of contaminant distribution, the study found that the collected water and sediment samples deposited with polymer type of plastic particles were nylon (39%), polyethylene (23%), polystyrene (19%), polypropylene (15%), and polyvinyl chloride (4%). The research work is a baseline study for the proposed site of Veeranam lake for microplastics contamination.","Bharath K, Manikanda S, Srinivasalu Natesan, Usha Ayyamperumal, Ramamoorthy Kalam S, Nirmal S, Anbalagan K, Sujatha C, Alagarasan eng England 2020/10/13 Chemosphere. 2021 Feb;264(Pt 2):128502. doi: 10.1016/j.chemosphere.2020.128502. Epub 2020 Oct 5."
RN29341,"Biginagwa, F. J. and Mayoma, B. S. and Shashoua, Y. and Syberg, K. and Khan, F. R.",2016,First evidence of microplastics in the African Great Lakes: Recovery from Lake Victoria Nile perch and Nile tilapia,Journal of Great Lakes Research,42,146–149,10.1016/j.jglr.2015.10.012,plastic ingestion lates niloticus oreochromis niloticus lake victoria east africa atr-ftir analysis plastic debris marine-environment lates-niloticus pollution pellets surface metals,"Microplastic contamination in the African Great Lakes is currently unreported, and compared to other regions of the world little is known about the occurrence of microplastics in African waters and their fauna. The present study was conducted in the Mwanza region of Tanzania, located on the southern shore of Lake Victoria. The gastrointestinal tracts of locally fished Nile perch (Lates niloticus) and Nile tilapia (Oreochromis niloticus) were examined for plastics. Plastics were confirmed in 20% of fish from each species by Attenuated Total Reflectance Fourier Transform Infrared (ATR-FTIR) spectroscopy. A variety of polymer types were identified with likely sources being urban waste and consumer use. Although further research is required to fully assess the impact of plastic pollution in this region, our study is the first to report the presence of microplastics in Africa's Great Lakes and within the fish species that inhabit them. (C) 2015 International Association for Great Lakes Research. Published by Elsevier B.V. All rights reserved.",Dd7pb Times Cited:220 Cited References Count:26
